Round,Funny,Motivational,Sad,Pets,Gaming
Final Weights (100 rounds),0.0120134,0.132426,0.218334,0.197557,0.43967
Final Weights (500 rounds),4.54671e-07,2.77201e-09,0.00368424,1.8726e-12,0.996315
Final Weights (1000 rounds),6.94938e-15,1.72704e-18,0.000123395,1.57893e-22,0.999877
Final Weights (5000 rounds),1.95544e-66,2.50214e-84,1.92377e-21,5.37509e-109,1
Final Weights (10000 rounds),1.15467e-133,5.17912e-172,3.03003e-42,1.17161e-216,1
Final Weights (50000 rounds),4.44659e-323,2.96439e-323,1.06012e-216,2.96439e-323,1
Final Weights (100000 rounds),2.47033e-323,2.47033e-323,3.45846e-323,2.47033e-323,1
